iter	Accuracy	MultiClass
0	0.9362639704	1.789939164
1	0.9382774261	1.662016717
2	0.9383581464	1.553890649
3	0.9365274612	1.460160466
4	0.9382477166	1.378145354
5	0.9373369057	1.305013848
6	0.9373318777	1.239472826
7	0.9379589042	1.18013217
8	0.9367484161	1.125999479
9	0.9373036367	1.076658967
10	0.9388373166	1.031271229
11	0.93797808	0.9890649481
12	0.937315028	0.9499369346
13	0.9388194153	0.9136144619
14	0.9379761366	0.8795873457
15	0.9379598555	0.8478686295
16	0.9379671525	0.8179655979
17	0.9388140416	0.7901259211
18	0.9393609889	0.763976026
19	0.9393758402	0.7390100577
20	0.9395472627	0.7154828608
21	0.9395574286	0.6931296983
22	0.9395368742	0.6720312524
23	0.939425632	0.6520785267
24	0.9402653979	0.6330075741
25	0.9402263661	0.6149669422
26	0.9402119374	0.5977223644
27	0.9401410347	0.5812931579
28	0.9404941785	0.5652650883
29	0.9403774687	0.5500479645
30	0.9400682277	0.5354254735
31	0.9401984889	0.5214950173
32	0.9401933251	0.5082839424
33	0.9407342178	0.4956299037
34	0.9406114681	0.4834481287
35	0.9411380698	0.4719825494
36	0.9408051287	0.4605838025
37	0.9407675482	0.4497882823
38	0.9407364595	0.4396623752
39	0.9408591235	0.4296851762
40	0.9408253998	0.4201155631
41	0.9407291499	0.4109596296
42	0.9409249168	0.4021936481
43	0.9409282932	0.3938714275
44	0.9409686799	0.385723939
45	0.9409051225	0.3779120366
46	0.9411036908	0.3703729217
47	0.9410892021	0.3633358694
48	0.9411429253	0.3563867215
49	0.941305223	0.3495913316
50	0.9414690072	0.3430989047
51	0.941738821	0.3370077361
52	0.9418386935	0.3309665746
53	0.9419993097	0.3250446787
54	0.9425777628	0.3192253086
55	0.9426046722	0.3137225886
56	0.9423782229	0.3083608016
57	0.9426474366	0.3034698021
58	0.9427687932	0.2984855942
59	0.9428829099	0.2936303193
60	0.9429657189	0.2889654017
61	0.9429741663	0.2847434176
62	0.9430359689	0.280415206
63	0.9431376245	0.2761837802
64	0.9432706763	0.2720552023
65	0.9433131671	0.2680360172
66	0.94325733	0.2644234231
67	0.9432860987	0.2608964771
68	0.9433565578	0.2572054245
69	0.9434292132	0.2537241167
70	0.9436294736	0.2503309343
71	0.9437679828	0.2470360947
72	0.943710537	0.2440199984
73	0.9439060803	0.2408908967
74	0.943887823	0.2378666122
75	0.9440197518	0.2349394308
76	0.9440258755	0.2321015013
77	0.944040883	0.2295133173
78	0.9440664019	0.2268617106
79	0.9442573072	0.2242386083
80	0.9443223393	0.2217305125
81	0.9444773796	0.2194059449
82	0.9445284943	0.2169990944
83	0.9449341152	0.214824105
84	0.9449191231	0.2126078604
85	0.9449600452	0.2104178565
86	0.9458098257	0.2084188029
87	0.9457463919	0.2063829649
88	0.9455691389	0.2043951417
89	0.946097353	0.2025730531
90	0.9463101105	0.2007070166
91	0.946361411	0.1988505439
92	0.9464906606	0.1971893886
93	0.9465806011	0.1954433144
94	0.9469076826	0.1938768109
95	0.946948276	0.1921549991
96	0.9474124495	0.1906818526
97	0.9475369881	0.1892622087
98	0.947634214	0.1876905603
99	0.9476839454	0.1862283409
100	0.947847246	0.1849239428
101	0.9479144221	0.1834864813
102	0.9479681388	0.1821326239
103	0.9480648618	0.1809311616
104	0.9481779307	0.1797656109
105	0.9482574324	0.1784537973
106	0.9483400705	0.1773341994
107	0.9484635819	0.1762769806
108	0.9486508811	0.1751147978
109	0.9486899512	0.1739603159
110	0.94878075	0.1729643541
111	0.948896624	0.1719879738
112	0.9489999539	0.1710464773
113	0.9490551382	0.1699957157
114	0.9491526494	0.1690078009
115	0.9492685075	0.1681402562
116	0.9493507663	0.167190195
117	0.9494105288	0.1663791577
118	0.9494944112	0.165581767
119	0.9494953403	0.1646440521
120	0.9496076587	0.1637758814
121	0.9496889349	0.163061395
122	0.949769852	0.1622173396
123	0.9498029618	0.1615178086
124	0.9498558597	0.1606963903
125	0.9499014663	0.1599395786
126	0.9500250777	0.1591053858
127	0.9500290661	0.1583770385
128	0.9501011067	0.1577649317
129	0.9501806286	0.1570648457
130	0.9502507706	0.156497771
131	0.950242399	0.1557413522
132	0.9502534956	0.1551031685
133	0.9502421151	0.1544070639
134	0.950357402	0.1538401295
135	0.9504241695	0.1532762782
136	0.9504832652	0.1526656299
137	0.9504693761	0.1520569191
138	0.9505042746	0.151551493
139	0.9506425367	0.150989661
