iter	Accuracy	MultiClass
0	0.9477016974	1.786675979
1	0.9491084373	1.656300777
2	0.9466400528	1.546076799
3	0.9468857306	1.450923867
4	0.9467503418	1.367535227
5	0.9465303145	1.29328153
6	0.9462462555	1.226575977
7	0.9468222423	1.166359459
8	0.9469198001	1.111468094
9	0.9473140773	1.061237474
10	0.947433207	1.015051938
11	0.9468916659	0.9722944542
12	0.949240873	0.9324237455
13	0.94894849	0.8954305616
14	0.9492109847	0.8611122062
15	0.9498352807	0.82883426
16	0.9497652884	0.7984327822
17	0.9497360021	0.76993587
18	0.9500143527	0.7431862454
19	0.9501583556	0.7178960785
20	0.9502545845	0.6937616157
21	0.9501667792	0.6712057928
22	0.9504130939	0.6495696813
23	0.9503985573	0.6291969501
24	0.9508259684	0.6098718128
25	0.95217887	0.5914868938
26	0.9524338552	0.5738817441
27	0.9516821914	0.5570229784
28	0.9511668202	0.5407900705
29	0.9512109445	0.52556757
30	0.9523466464	0.5110390393
31	0.9529155886	0.4972219347
32	0.9530507285	0.4835649677
33	0.9526722231	0.4706028612
34	0.9519073961	0.4582663774
35	0.953079202	0.446440329
36	0.9529844473	0.4350686861
37	0.9534023624	0.4242464941
38	0.9535768702	0.4140192717
39	0.9537326076	0.4040916425
40	0.9538916848	0.3946392449
41	0.9539519199	0.3852554383
42	0.9541569863	0.3763953777
43	0.9541952844	0.3678582483
44	0.9543811676	0.3595914384
45	0.9543362369	0.3516620372
46	0.9544466343	0.3441502742
47	0.9546252061	0.3367405136
48	0.954639497	0.3296436913
49	0.9547126095	0.3228093392
50	0.9547692626	0.3160475421
51	0.9548034327	0.3097000504
52	0.9548399022	0.3035849873
53	0.9549487416	0.2975185855
54	0.9550139387	0.2919639479
55	0.9550782541	0.28623867
56	0.9551378488	0.2807582611
57	0.955157537	0.2756407913
58	0.9551994732	0.2705505945
59	0.9552473671	0.2657695398
60	0.9554478218	0.261161947
61	0.9555075314	0.2565977457
62	0.9554845487	0.2522096441
63	0.9556518871	0.2478709771
64	0.955682806	0.2438665008
65	0.9557661242	0.2398505987
66	0.9558696598	0.2361024755
67	0.9558830471	0.2323078976
68	0.9560124305	0.2288021289
69	0.956128006	0.2254750927
70	0.9561552878	0.2222188438
71	0.9561702062	0.2189381585
72	0.9562861528	0.2158303084
73	0.9563699339	0.2126814635
74	0.9563709592	0.2097343703
75	0.9563989224	0.2068945839
76	0.9564094125	0.2041726083
77	0.9565237354	0.2016029408
78	0.9566473435	0.1990205557
79	0.9567301623	0.1966001902
80	0.956790262	0.1939951745
81	0.9568001137	0.1916042648
82	0.9568034953	0.1892989046
83	0.9569220263	0.1871263776
84	0.9570102635	0.1848251842
85	0.9570527246	0.1826506398
86	0.9571322587	0.1805806961
87	0.9571936775	0.1786457496
88	0.9572073941	0.1766728168
89	0.9572761784	0.1747529863
90	0.9573347721	0.1728905678
91	0.9574659822	0.1710778375
92	0.9575990987	0.1692926593
93	0.9576201937	0.1675462626
94	0.9576957161	0.1659334897
95	0.9577864571	0.1643750615
96	0.9579008314	0.1629260926
97	0.9580215004	0.1613687528
98	0.9581170013	0.1598820539
99	0.9582342614	0.1584337476
100	0.958317724	0.1570479698
101	0.9584027394	0.1556318155
102	0.9585018363	0.1543748576
103	0.958564168	0.1529963826
104	0.9586232422	0.1516857952
105	0.9587059144	0.1504615822
106	0.9587915157	0.1492795379
107	0.9588479272	0.1480945316
108	0.9589525796	0.1469610309
109	0.9590492605	0.1459196285
110	0.9590559674	0.1448598614
111	0.9591649858	0.1438086924
112	0.959265087	0.1428854579
113	0.9593358645	0.1418815394
114	0.959376367	0.1408719162
115	0.9595021455	0.1399006462
116	0.9595396116	0.1389532393
117	0.9595917218	0.1380321443
118	0.9596920945	0.1371446022
119	0.9597209926	0.1363179025
120	0.9598020197	0.1355414654
121	0.9598594662	0.1347191635
122	0.9599375572	0.1339175639
123	0.9599870911	0.1331303963
124	0.9600574314	0.1324533004
125	0.960095567	0.1317498193
126	0.9601502656	0.1310176793
127	0.9602306671	0.1303260785
128	0.9602912514	0.1296310288
129	0.960351573	0.1289685306
130	0.9604279174	0.1284011292
131	0.96053142	0.1277659594
132	0.9605858703	0.1270238136
133	0.960616928	0.126270123
134	0.9606490666	0.1255514382
135	0.960696693	0.1248542577
136	0.9607682941	0.1243337115
137	0.960830611	0.1237080932
138	0.9609044484	0.1232114551
139	0.9609751001	0.1226625249
140	0.9610349215	0.1221123225
141	0.9611146542	0.1215550668
142	0.9611815921	0.1209318146
143	0.9612675483	0.1204168255
144	0.9613584684	0.1199347489
145	0.9614101993	0.1193476028
146	0.9614635538	0.1187633399
147	0.9615160501	0.1183432397
148	0.9615719301	0.1179484918
149	0.9616445201	0.1175485904
150	0.9616633792	0.1170256155
151	0.9617176222	0.11659143
152	0.9617693463	0.1160974659
153	0.9618479241	0.1157024158
154	0.9618891307	0.1152631267
155	0.9619528972	0.1149271038
156	0.962002858	0.1145701072
157	0.9620683755	0.1142237413
158	0.9621416342	0.113920993
159	0.9621479642	0.1134974155
160	0.9621914736	0.1131960525
161	0.9622504002	0.1128432946
162	0.9622950405	0.1124316958
163	0.9623434255	0.1119999827
164	0.9623888983	0.1116816995
165	0.9624601009	0.1113909394
166	0.9625282852	0.1110755045
167	0.9626163716	0.1107705588
168	0.9626371398	0.1103880096
169	0.9626898921	0.1101277026
170	0.9627383346	0.1098161848
171	0.9627822518	0.1095363901
172	0.9628340475	0.1092752101
173	0.9628910272	0.1089290162
174	0.9629392738	0.1085984185
175	0.9630220105	0.1083404521
176	0.9630762907	0.1080967003
177	0.9631485935	0.1078501949
178	0.9631512725	0.1075209404
179	0.9631872255	0.1073224252
180	0.963239323	0.1070895556
181	0.9632783856	0.1068139994
182	0.9633384172	0.1065751414
183	0.9633697619	0.1062956489
184	0.9634261046	0.1060754074
185	0.9634876637	0.1058296406
186	0.9635315809	0.1056191383
187	0.9636028249	0.1054414355
188	0.9636212903	0.1051530744
189	0.9636499046	0.104973275
190	0.9636677335	0.1047377802
191	0.9637171309	0.1045259299
192	0.9637660885	0.1043335695
193	0.9638239117	0.1041393313
194	0.9638751118	0.1039495555
195	0.963890178	0.1037002561
196	0.9639553499	0.1035030241
197	0.9639915114	0.1033357833
198	0.9640249525	0.1031206451
199	0.9640907224	0.1029368285
200	0.9641290406	0.1027543157
201	0.9641727691	0.102627689
202	0.9641849812	0.1024155462
203	0.9642101147	0.1021532314
204	0.9642769284	0.1019750164
205	0.9643031491	0.1018286295
206	0.9643224827	0.1015643731
207	0.9643753461	0.1014166178
208	0.9644136357	0.1012582475
209	0.9644504224	0.1010885006
210	0.9644997119	0.1009232931
211	0.9645402903	0.1007598767
212	0.9645518052	0.100637729
213	0.9645856279	0.100471573
214	0.9646502691	0.1003407503
215	0.9646643829	0.1001999509
216	0.964680395	0.1000255647
217	0.9647324796	0.09986153893
218	0.9647758604	0.09972261012
219	0.9648134086	0.09958636144
220	0.9648319026	0.09942188958
221	0.9648560636	0.0992613428
222	0.9649095575	0.09913095826
223	0.964970582	0.09899773527
224	0.9650048165	0.09886903244
225	0.9650398502	0.09870061684
226	0.9650865467	0.09857653116
227	0.9651398704	0.09842033951
228	0.9651868538	0.09830793886
229	0.9652329076	0.09818700079
230	0.9652561408	0.09804147762
231	0.9652884964	0.09789225678
232	0.9653161519	0.09778004692
233	0.9653509185	0.09768113055
234	0.9653815471	0.09755812433
235	0.9653960725	0.09747327383
236	0.9654184292	0.09739326366
237	0.965468597	0.0972616366
238	0.9654946841	0.09711589039
239	0.9655202993	0.0969958501
240	0.9655651281	0.0968968714
241	0.9655919584	0.09676421048
242	0.9656228797	0.09664171082
243	0.965653684	0.09654931812
244	0.9656728335	0.09636909789
245	0.9656955845	0.09622567665
246	0.9657308903	0.09613147638
247	0.9657470721	0.09603619304
248	0.9657761251	0.09593088428
249	0.9658078776	0.09583075954
250	0.9658218784	0.09576505583
251	0.9658512286	0.0956124704
252	0.9659045451	0.09552645201
253	0.9659282384	0.09544003615
254	0.96596364	0.09535822725
255	0.9659988762	0.0952812411
256	0.9660387006	0.09520026559
257	0.966047578	0.09505569999
258	0.9660891956	0.09496631376
259	0.966115406	0.09488850961
260	0.9661316415	0.09472641093
261	0.9661606558	0.09463531146
262	0.9661762282	0.09450004614
263	0.9662213275	0.09441282579
264	0.9662429569	0.09432285196
265	0.9662694438	0.09422226163
266	0.9662935288	0.09410531802
267	0.9663257438	0.09402005398
268	0.9663425345	0.09391627533
269	0.9663702463	0.09382013789
270	0.9663827528	0.09369698415
271	0.9664085022	0.09361209837
272	0.9664322264	0.09352608059
273	0.9664687123	0.09342487446
274	0.9664976405	0.09334361393
275	0.9665153925	0.09325388182
276	0.9665339842	0.0931490643
277	0.9665598732	0.09307746651
278	0.9665941298	0.09298240795
279	0.9666085796	0.09291614149
280	0.9666535558	0.09284036842
281	0.9666615119	0.09273713354
282	0.9666761715	0.09268147475
283	0.9667088604	0.09261015388
284	0.9667389109	0.09254796857
285	0.9667519872	0.09245366881
286	0.9667597934	0.09234274492
287	0.9667837216	0.09226641915
288	0.9668142063	0.09218717787
289	0.9668506199	0.09210375347
290	0.9668816851	0.09201401234
291	0.9669127124	0.0919362397
292	0.9669222156	0.0918925184
293	0.9669541585	0.09182470213
294	0.966972697	0.09176144702
295	0.9669911348	0.09168046367
296	0.9670032636	0.09159809872
297	0.96701567	0.09151943251
298	0.9670354292	0.09145256866
299	0.9670549039	0.09136147273
300	0.9670759623	0.09132167171
301	0.967111213	0.09124098427
302	0.9671293465	0.09112868637
303	0.9671542853	0.09105392114
304	0.9671827429	0.09099665671
305	0.9671877754	0.09094804368
306	0.9672174469	0.09089255453
307	0.9672307221	0.0908121674
308	0.9672603039	0.09072961563
309	0.9672839178	0.09067922629
310	0.9673015632	0.09062288262
311	0.9673295256	0.09054601683
312	0.9673573476	0.09046503057
313	0.9673773669	0.09040342491
314	0.9673812561	0.09035437965
315	0.9673958096	0.09030773532
316	0.9674181705	0.09026545065
317	0.9674159911	0.0901858452
318	0.9674382923	0.09014972176
319	0.9674553707	0.09008063544
320	0.9674755071	0.09001963028
321	0.9674972589	0.08995840609
322	0.9675127584	0.08992745227
323	0.9675284748	0.0898483757
324	0.9675436369	0.0898074261
325	0.9675656867	0.089699026
326	0.9675756445	0.08964739848
327	0.9676049593	0.08959609853
328	0.9676110417	0.08954198682
329	0.967622197	0.08947431906
330	0.9676407632	0.08944109951
331	0.9676432376	0.0893996952
332	0.9676499635	0.08933444995
333	0.9676882722	0.08927458674
334	0.9677031472	0.08923462046
335	0.9677222369	0.08916623621
336	0.9677535287	0.0890972913
337	0.9677640493	0.0890413316
338	0.9677868057	0.08896680822
339	0.9678105033	0.08889753029
340	0.9678186505	0.08884258918
341	0.9678260277	0.08878389191
342	0.967838127	0.08872743934
343	0.967851592	0.08865266523
344	0.9678796846	0.08857941851
345	0.9679085084	0.08852354301
346	0.9679199728	0.08847740817
347	0.9679425864	0.08842393534
348	0.9679565393	0.08835393068
349	0.967970105	0.08830338133
350	0.9679896841	0.08825590825
351	0.9680012967	0.08820810096
352	0.9680154428	0.08815500824
353	0.9680391626	0.08810568962
354	0.9680524009	0.08806034388
355	0.9680616816	0.08796675958
356	0.9680768093	0.08793513025
357	0.968095252	0.08789070924
358	0.9681116348	0.0878543542
359	0.9681344046	0.08780582137
360	0.9681432747	0.08772148214
361	0.968154723	0.08768681626
362	0.9681695755	0.08763459509
363	0.9681871252	0.08760880016
364	0.9682102986	0.08755635058
365	0.9682134668	0.0875139157
366	0.9682197604	0.08748378262
367	0.9682441443	0.08744153823
368	0.9682383074	0.08738012169
369	0.9682543289	0.08732578529
370	0.9682648794	0.08723742507
371	0.9682816571	0.0871961447
372	0.9683015782	0.0871572706
373	0.9683090909	0.08713363984
374	0.9683266791	0.08707072506
375	0.968344872	0.08701018419
376	0.9683568429	0.08695463925
377	0.9683750393	0.08689292613
378	0.968389596	0.08681284734
379	0.9684014068	0.08676749625
380	0.9684108283	0.08673480665
381	0.9684141423	0.08670756594
382	0.9684245954	0.08664879485
383	0.9684366725	0.08661616336
384	0.9684552808	0.08656514371
385	0.9684663861	0.08648968436
386	0.9684779781	0.08645442906
387	0.9684943488	0.08639190381
388	0.9685128941	0.086345174
389	0.9685352711	0.08629606497
390	0.9685456728	0.08624855619
391	0.9685428836	0.08622353356
392	0.9685569272	0.08618294923
393	0.9685726747	0.08613527937
394	0.9685893328	0.08609826733
395	0.9685912925	0.08602847148
396	0.9686004294	0.08598914859
397	0.9686163672	0.08594273233
398	0.9686464202	0.08590164709
399	0.9686742362	0.08585368812
400	0.9686782196	0.08581273886
401	0.9686756474	0.0857837669
402	0.9687005996	0.08572916692
403	0.968711927	0.08569423406
404	0.9687203692	0.0856708332
405	0.9687414412	0.08563351929
406	0.9687509486	0.08559481923
407	0.9687637958	0.0855609378
408	0.9687723729	0.08552537202
409	0.9687859168	0.08548490452
410	0.9688100056	0.08543849974
411	0.968816572	0.08540375983
412	0.9688344222	0.08535385349
413	0.9688437874	0.08531317833
414	0.9688516176	0.0852570499
415	0.9688583213	0.08523014377
416	0.9688751172	0.08519422582
417	0.9688904978	0.0851467067
418	0.9689143959	0.0851101066
419	0.9689250665	0.08509110853
420	0.9689374406	0.08505806352
421	0.9689570689	0.08501894134
422	0.9689698714	0.08500216632
423	0.9689836385	0.08497061428
424	0.9689928728	0.08492644427
425	0.9690017305	0.08489145249
426	0.9690130774	0.08486737724
427	0.9690249745	0.08483651569
428	0.9690264801	0.08477056674
429	0.9690300025	0.08473622601
430	0.9690540657	0.08467967383
431	0.9690491132	0.08463386502
432	0.9690691313	0.08459864186
433	0.9690691491	0.08458056215
434	0.9690919128	0.08454314563
435	0.9691073753	0.08449493331
436	0.9691278743	0.08445259886
437	0.969127656	0.08438993416
438	0.9691318649	0.08436964365
439	0.9691466415	0.08434032973
440	0.9691400861	0.08431172238
441	0.969158424	0.08427670933
442	0.9691575022	0.08422640015
443	0.9691755575	0.08419695118
444	0.9691826879	0.08417613703
445	0.9691885152	0.08415463271
446	0.9692033452	0.08411207904
447	0.9692125736	0.08408392734
448	0.9692049552	0.08404420292
449	0.969223945	0.08402170729
450	0.9692258521	0.08397430747
451	0.969236203	0.08395097703
452	0.9692561567	0.08392645418
453	0.969268531	0.08386116475
454	0.969277532	0.08383044535
455	0.9692890317	0.08379492849
456	0.9692999252	0.08376625132
457	0.969306366	0.0837359941
458	0.9693111978	0.08368544214
459	0.9693256937	0.08364969184
460	0.9693163336	0.08362913014
461	0.9693368558	0.08359541668
462	0.9693565846	0.08356622215
463	0.9693600526	0.08353129623
464	0.9693625145	0.08349898254
465	0.9693868183	0.08345044147
466	0.9693954434	0.08343175748
467	0.9693972419	0.08340926267
468	0.969415783	0.08338187079
469	0.9694201512	0.08335646922
470	0.9694349036	0.08331934216
471	0.96944948	0.08329698732
472	0.9694413459	0.08327981645
473	0.9694439939	0.08324964096
474	0.9694683778	0.08322171649
475	0.9694724858	0.08318883683
476	0.969480184	0.08316094575
477	0.9694874855	0.08314498171
478	0.9694995666	0.08310709252
479	0.9695020748	0.08309185704
480	0.9695144406	0.08306099674
481	0.9695159601	0.08303467329
482	0.9695175583	0.0830200821
483	0.9695281981	0.08299285276
484	0.9695411071	0.08296601832
485	0.9695473576	0.08294108783
486	0.9695583596	0.08290944003
487	0.9695743587	0.08287897459
488	0.9695860054	0.0828289805
489	0.969592397	0.08279707469
490	0.9695972112	0.08276075759
491	0.969620092	0.08272728036
492	0.969626662	0.08270587994
493	0.9696346947	0.08264671114
494	0.9696461514	0.08260567985
495	0.9696466965	0.08258091013
496	0.9696516236	0.08256381375
497	0.9696584418	0.08254630181
498	0.9696737937	0.08252024424
499	0.9696783893	0.08250310637
500	0.9696890985	0.08247183814
501	0.9696925725	0.08245065183
502	0.9697059915	0.08242277649
503	0.969706069	0.08239401717
504	0.9697191597	0.08236194528
505	0.9697235899	0.08234141017
506	0.9697229565	0.08231574482
507	0.9697325549	0.08229114256
508	0.9697505324	0.08227202707
509	0.9697422481	0.08224314245
510	0.9697507337	0.08222008757
511	0.9697604417	0.08218804062
512	0.9697561718	0.08217230954
513	0.9697607822	0.08215845427
514	0.9697739781	0.08212831242
515	0.9697730499	0.08210808467
516	0.9697752977	0.08208218662
517	0.9697921095	0.08204456723
518	0.969801256	0.0820237833
519	0.9698154735	0.08199087218
520	0.9698163934	0.08197061006
521	0.9698259637	0.08194423284
522	0.9698260185	0.08192210934
523	0.9698327839	0.08189362112
524	0.9698334304	0.08184055643
525	0.9698458714	0.08180319487
526	0.9698557837	0.08178381668
527	0.9698619288	0.08174743452
528	0.9698704956	0.08172626322
529	0.969871312	0.08169886304
530	0.9698811097	0.08167704007
531	0.9698842274	0.08166388893
532	0.9698959789	0.08163804201
533	0.9699155491	0.08160707492
534	0.9699171027	0.08159368329
535	0.9699221602	0.08158001258
536	0.9699263054	0.08155784961
537	0.9699268073	0.08152135985
538	0.9699337328	0.08147315171
539	0.9699423173	0.08144295764
540	0.9699500303	0.08142306303
541	0.9699503826	0.08140451333
542	0.9699609814	0.08138157425
543	0.9699694897	0.08136465868
544	0.9699770658	0.08134660994
545	0.9699878568	0.08132676425
546	0.969993803	0.08130774829
547	0.9699973861	0.08128267898
548	0.9700073614	0.0812622457
549	0.9700192807	0.08124680609
550	0.9700173167	0.08122951924
551	0.9700251345	0.08119137573
552	0.9700280451	0.08116971769
553	0.9700395049	0.0811547674
554	0.9700464212	0.08113391383
555	0.970049262	0.08111836715
556	0.9700589658	0.08110022781
557	0.9700679836	0.08108098963
558	0.9700697499	0.08106964238
559	0.9700780342	0.08104159136
560	0.9700904927	0.08099847815
561	0.9701096601	0.08097191979
562	0.970107379	0.08094691945
563	0.9701145433	0.08092908766
564	0.9701207981	0.08091660694
565	0.9701223546	0.08090574171
566	0.9701279909	0.08088405469
567	0.970139427	0.08086529795
568	0.9701438785	0.08083785386
569	0.9701463094	0.0808238906
570	0.970155428	0.08080532826
571	0.9701667159	0.08076584704
572	0.9701759792	0.08073976508
573	0.9701785335	0.08070689385
574	0.9701859609	0.08069186302
575	0.9701978359	0.08064955265
576	0.9701967415	0.08062626018
577	0.9701998815	0.08061261028
578	0.9702047414	0.08058884179
579	0.9702202349	0.08056458332
580	0.97022957	0.08053267855
581	0.9702363631	0.08051275237
582	0.9702389628	0.08049745586
583	0.9702452545	0.08047900485
584	0.9702495396	0.08046543402
585	0.9702608188	0.08044800796
586	0.9702604931	0.08043117349
587	0.9702766686	0.08041275639
588	0.9702725603	0.08038111742
589	0.9702755533	0.08035751446
590	0.970293725	0.08033920664
591	0.9702950204	0.08031905408
592	0.9702950631	0.08029193046
593	0.970306136	0.08028340083
594	0.9703106498	0.08027380389
595	0.9703137723	0.08024412765
596	0.9703180502	0.0802140152
597	0.9703237369	0.08019511879
598	0.9703294531	0.08015749759
599	0.9703349455	0.08013943262
600	0.9703362602	0.08012023455
601	0.9703482397	0.08009530264
602	0.9703534854	0.08007065596
603	0.9703582306	0.08004888269
604	0.9703685116	0.0800271077
605	0.9703734999	0.08000773252
606	0.9703767599	0.07998493404
607	0.9703785928	0.07995677451
608	0.9703808988	0.07993998763
609	0.9703869863	0.07992270033
610	0.9703952688	0.07988550613
611	0.9704028993	0.07987028347
612	0.9704019355	0.07986182815
613	0.9704080774	0.07984108283
614	0.9704147046	0.07982037532
615	0.9704181497	0.07980840805
616	0.9704267655	0.07979023886
617	0.9704307841	0.07977246644
618	0.9704348789	0.07975463216
619	0.9704343689	0.07973829616
620	0.9704437072	0.07971493697
621	0.9704483264	0.07970358558
622	0.9704524322	0.07968474012
623	0.9704579209	0.07966452308
624	0.9704631102	0.07964919969
625	0.9704595198	0.0796316892
626	0.9704646193	0.07962138621
627	0.9704677917	0.0796048472
628	0.9704693094	0.07959197811
629	0.9704811853	0.07956327361
630	0.970480772	0.07955427082
631	0.9704877314	0.07954535952
632	0.9704877928	0.07952452106
633	0.9705034566	0.07950550438
634	0.9705009673	0.07948488784
635	0.9705124049	0.07946629914
636	0.9705090626	0.07944396045
637	0.9705174948	0.07942290001
638	0.9705194503	0.07939999601
639	0.9705243794	0.07938077208
640	0.9705315783	0.07936829324
641	0.9705359766	0.07934440129
642	0.9705437098	0.07932472593
643	0.9705488403	0.07930647854
644	0.9705527077	0.0792898107
645	0.9705622868	0.07927503024
646	0.9705611064	0.07926597417
647	0.9705663309	0.07925172979
648	0.9705802426	0.07922636666
649	0.9705871303	0.07921112542
650	0.9705916945	0.07919298146
651	0.9705979148	0.07917507868
652	0.9706032951	0.07916066531
653	0.970609089	0.0791435454
654	0.9706105355	0.07912510357
655	0.9706125705	0.07909057517
656	0.9706191981	0.07907404751
657	0.9706279676	0.0790613973
658	0.9706303766	0.07902613037
659	0.9706370061	0.07901556047
660	0.9706339075	0.07899544568
661	0.9706305919	0.07898067489
662	0.970639988	0.07895118759
663	0.9706476283	0.07893385783
664	0.9706598818	0.07891431788
665	0.9706636899	0.07889663972
666	0.9706742021	0.07887535793
667	0.9706844178	0.07885421745
668	0.9706883	0.07884032087
669	0.9706848402	0.07882334854
670	0.9706948258	0.07880560747
671	0.9707021071	0.07878802453
672	0.970703033	0.07877071008
673	0.9707164252	0.07875438938
674	0.9707184176	0.07873704778
675	0.9707214848	0.07872904963
676	0.97072827	0.07869804102
677	0.9707296344	0.07868872387
678	0.9707269846	0.07867616856
679	0.9707314418	0.07866737593
680	0.9707298774	0.07865268355
681	0.9707322652	0.07863707191
682	0.970741054	0.07862862091
683	0.9707449167	0.07861076578
684	0.9707498701	0.07860020226
685	0.9707528659	0.07858340262
686	0.970752909	0.07857077353
687	0.9707586338	0.0785612878
688	0.9707630904	0.07853161223
689	0.9707756103	0.07851277759
690	0.9707789483	0.07849854687
691	0.9707838881	0.07847622844
692	0.9707853758	0.07845481103
693	0.9707914958	0.07842731442
694	0.9707932403	0.07841385045
695	0.970800817	0.07839581467
696	0.9708019945	0.07838491836
697	0.9708064575	0.07836970696
698	0.9708074958	0.07834999384
699	0.9708075488	0.07833332797
700	0.9708131458	0.0783140887
701	0.970826331	0.07829708401
702	0.9708357056	0.07827224479
703	0.9708444944	0.07826024046
704	0.9708379105	0.0782533058
705	0.9708453921	0.07822940492
706	0.970850145	0.07820981854
707	0.9708576367	0.07819718173
708	0.9708632561	0.07818141079
709	0.9708661339	0.0781730007
710	0.9708762815	0.07815635292
