iter	Accuracy	MultiClass
0	0.9426773435	1.786893852
1	0.9489764832	1.656436043
2	0.9494839227	1.546089926
3	0.9465808389	1.450982311
4	0.9466527319	1.367570178
5	0.9462456891	1.293509662
6	0.9463212695	1.227099941
7	0.9477056988	1.166999686
8	0.9476750851	1.112002627
9	0.9476097992	1.061609028
10	0.9475516392	1.015466683
11	0.947800149	0.9725726854
12	0.9499976192	0.9328774349
13	0.9482241937	0.8959117369
14	0.9479779089	0.8614060408
15	0.9491431794	0.8290905144
16	0.9490170172	0.7989425098
17	0.9490023306	0.7705202967
18	0.9490813846	0.7438034225
19	0.9496363914	0.7184445489
20	0.9503745821	0.6945271521
21	0.9507104761	0.6717960067
22	0.9507920443	0.6502016108
23	0.9507989812	0.6298231691
24	0.9509729289	0.6104749808
25	0.951153434	0.5918970574
26	0.9511625834	0.5742886785
27	0.9514689784	0.5574811943
28	0.9515299647	0.5414697112
29	0.951625496	0.5262783974
30	0.9518218948	0.511773609
31	0.9531862138	0.4978984149
32	0.9532128064	0.4844393936
33	0.9534118947	0.4715273027
34	0.9535214956	0.4592696494
35	0.9535493845	0.4474882555
36	0.9535739922	0.4361046505
37	0.9537681237	0.4251022221
38	0.9535583762	0.4146000755
39	0.9529810677	0.4044060612
40	0.9540446093	0.3947804232
41	0.9538261102	0.3854089424
42	0.9541578691	0.3764498904
43	0.95435316	0.3678158466
44	0.9543228829	0.3594355433
45	0.9544119369	0.3515340212
46	0.954567658	0.3439234388
47	0.9546059481	0.3363937049
48	0.9547541551	0.3293068231
49	0.954812605	0.3223514246
50	0.9548119889	0.3157300302
51	0.9550001184	0.3095064161
52	0.9550460863	0.3033174472
53	0.9552242954	0.2972683297
54	0.955279039	0.2914975574
55	0.9553646668	0.285836954
56	0.9553686186	0.2805220847
57	0.9554291187	0.2752893908
58	0.9553997981	0.2703268623
59	0.9554560421	0.2654715353
60	0.9555356134	0.2610191804
61	0.955628804	0.2564463785
62	0.9557557292	0.2521281192
63	0.9557378163	0.247906334
64	0.9559005787	0.2439652099
65	0.9560082899	0.2401278644
66	0.9560430571	0.2362667775
67	0.9561034527	0.2324542083
68	0.9562231093	0.2290846622
69	0.9564249737	0.2255272473
70	0.9563570401	0.222070964
71	0.9565250647	0.2189741508
72	0.9565289326	0.2158053812
73	0.9565521363	0.2127148016
74	0.9565400912	0.2097605864
75	0.9566378206	0.2069362846
76	0.9567612185	0.2043630254
77	0.956835779	0.2017610895
78	0.9569906805	0.1992001976
