iter	Accuracy	MultiClass
0	0.9485428832	1.786841564
1	0.9490362569	1.656399597
2	0.9494937172	1.546222646
3	0.94928407	1.450871299
4	0.9495204943	1.367610444
5	0.9497478634	1.293394809
6	0.9496500898	1.226617766
7	0.9497108798	1.166484811
8	0.9496318427	1.111647933
9	0.9497414479	1.061415492
10	0.9495795699	1.015300863
11	0.949611749	0.9725103681
12	0.9491594282	0.9328185079
13	0.9493520621	0.8958298986
14	0.9497005349	0.8613351007
15	0.9498763039	0.8291164785
16	0.9502588422	0.7987602848
17	0.9503095113	0.7702340239
18	0.9509770885	0.7434429704
19	0.950621127	0.7180486652
20	0.9506852846	0.6941047624
21	0.9508917872	0.6714182747
22	0.9508521183	0.6497935938
23	0.9508834945	0.6292957227
24	0.9517648778	0.6099163077
25	0.9509758307	0.5914963641
26	0.9527929656	0.5739999557
27	0.9523720615	0.5572208208
28	0.951229834	0.541279326
29	0.9530070595	0.5260894446
30	0.9525568801	0.5114037425
31	0.9515041396	0.4972962929
32	0.9515896739	0.4837111741
33	0.9529064258	0.4708450329
34	0.9522707067	0.4585362654
35	0.9519025213	0.4465454014
36	0.9533404145	0.43530182
37	0.9536712028	0.4245011993
38	0.9537980994	0.4140808001
39	0.9538922401	0.4038360325
40	0.9540132958	0.3942031036
41	0.9539977736	0.3849669227
42	0.9541880056	0.3759569405
43	0.9543460052	0.3672992825
44	0.9544704249	0.3592099018
45	0.9545138376	0.3512825536
46	0.9547538494	0.3437324512
47	0.9548205438	0.3363410769
48	0.9549020922	0.3291746734
49	0.9549481977	0.3223069062
50	0.9549611731	0.3156753441
51	0.9550476547	0.3094794784
52	0.9551068322	0.3031849393
53	0.9552508816	0.2971512963
54	0.9552630854	0.2914257888
55	0.9553439391	0.2858277027
56	0.9554764952	0.2804052052
57	0.9555029158	0.2754716296
58	0.9555599073	0.2703475821
59	0.9556557563	0.2654635273
60	0.9557726923	0.2609730098
61	0.955890863	0.2565140573
62	0.9559169271	0.2521095362
63	0.9559536891	0.2478869248
64	0.9560262104	0.2437522512
65	0.956036891	0.2397927668
66	0.956056992	0.2359910033
67	0.95622005	0.2321964073
68	0.9562823124	0.2287440846
69	0.9562978185	0.2253570197
70	0.9562610438	0.2220011553
71	0.9562208973	0.2187151392
72	0.956339189	0.215633443
73	0.9563650416	0.212641824
74	0.9564554986	0.209723155
75	0.9564784253	0.2068026557
76	0.956494197	0.2040334743
77	0.9565988079	0.2012185194
78	0.9566329531	0.1986710276
79	0.9567115815	0.1962724709
80	0.9568168968	0.1938510118
81	0.9569583164	0.1914870097
82	0.9570835811	0.1892132275
83	0.9571739768	0.1869836143
84	0.9572827915	0.1848763589
85	0.957365257	0.1827254561
86	0.9574436906	0.1807083648
87	0.9575624999	0.1786725283
88	0.9576627724	0.1767198546
89	0.9576595313	0.1748400439
90	0.9576622107	0.1729493963
91	0.9577035155	0.1711621579
92	0.9577522223	0.1695031847
93	0.9578520874	0.1677891031
94	0.9579749496	0.1661095542
95	0.958008591	0.1644351015
96	0.9580746491	0.162817609
97	0.9582159007	0.1612717741
98	0.958309138	0.1598658212
99	0.9583814408	0.1584133583
100	0.9584794053	0.1569990435
101	0.9585918083	0.1555767203
102	0.9587043839	0.1542730627
103	0.9587964607	0.1529882904
104	0.9588948527	0.1518115639
105	0.9590205941	0.1505650842
106	0.9591139935	0.1493677417
107	0.9591835695	0.1481492602
108	0.9592361222	0.1470385211
109	0.9593180058	0.1458791861
110	0.9594251909	0.1448703233
111	0.9595070402	0.1439026982
112	0.9595873433	0.1428830747
113	0.9596223233	0.1418214372
114	0.9596970615	0.1408851445
115	0.9598038725	0.1399311802
116	0.9598433335	0.138969613
117	0.9599177349	0.1380335117
118	0.9599808109	0.137150682
119	0.9600684451	0.1363518076
120	0.9601311713	0.1355417937
121	0.9601793206	0.1347037357
122	0.9602359022	0.1339195997
123	0.9603173038	0.1332049618
124	0.9604121749	0.1324408838
125	0.960473789	0.1316891725
126	0.9605303366	0.1309517858
127	0.9605946775	0.1302857207
128	0.9606272303	0.1295817689
129	0.960714846	0.1289477021
130	0.9607984638	0.128364088
131	0.9608997735	0.1277228054
132	0.9609355555	0.1271727506
133	0.9609906498	0.1264447502
134	0.9610066856	0.1256527373
135	0.9610919927	0.1251175125
136	0.96110988	0.1243614921
137	0.9611453905	0.1236510869
138	0.9612004672	0.1231862602
139	0.9612679823	0.1226531101
140	0.9612984104	0.1219710186
141	0.9613910893	0.121474688
142	0.9614240174	0.1209455823
143	0.9614785589	0.1205206703
144	0.9615034107	0.1199177937
