iter	Accuracy	MultiClass
0	0.9456607078	1.786643428
1	0.9460769816	1.65638843
2	0.946174698	1.546216731
3	0.9461506482	1.451135903
4	0.9467758136	1.367787236
5	0.9470936176	1.293360136
6	0.9472790932	1.226898061
7	0.948003845	1.166801097
8	0.950177129	1.111844814
9	0.9503479339	1.061686594
10	0.9503842923	1.015599007
11	0.9483381917	0.9726785815
12	0.9486176663	0.9331231402
13	0.9486018359	0.8961142368
14	0.9501447893	0.8615807381
15	0.9498260359	0.8292588452
16	0.9489997519	0.79890422
17	0.949331941	0.7704056641
18	0.9492353851	0.7435669606
19	0.950357312	0.718220213
20	0.9503321655	0.6943258919
21	0.9503308335	0.671574442
22	0.9509446858	0.6501476051
23	0.9508967081	0.6296956017
24	0.9511156098	0.610298047
25	0.9526014178	0.591864839
26	0.9526014458	0.5743159603
27	0.9527530717	0.557410474
28	0.9528980098	0.5409970482
29	0.9529881312	0.5257756293
30	0.9518652426	0.5112415089
31	0.9531454415	0.4973874273
32	0.9532478805	0.4837362162
33	0.9533032788	0.4709889237
34	0.953474381	0.4587248525
35	0.9532666606	0.4469798135
36	0.9526456201	0.4354916985
37	0.9521814853	0.4245838689
38	0.9534268452	0.4142642756
39	0.9537282313	0.4042927915
40	0.9538121122	0.3946659993
41	0.9536023561	0.3853957363
42	0.9534278454	0.37640113
43	0.952958398	0.3677364302
44	0.9542165063	0.3594698192
45	0.9543471256	0.3516139258
46	0.9544007472	0.344035167
47	0.954494073	0.336653223
48	0.954481164	0.3296071376
49	0.9546198355	0.3226647628
50	0.9546849392	0.3160406795
51	0.9547468116	0.3096125101
52	0.9548448055	0.3035813392
53	0.9549575177	0.2976613038
54	0.9550212928	0.2918857999
55	0.9551421909	0.286216859
56	0.9552759963	0.2807709707
57	0.9552973248	0.2756324839
58	0.9553530036	0.2704889551
59	0.9554230073	0.2657008357
60	0.9555870421	0.2612141343
61	0.9556222775	0.2565949659
62	0.9558102316	0.2521377986
63	0.9557936559	0.2478884973
64	0.955922457	0.243748125
65	0.9559270126	0.2397711248
66	0.9560488418	0.2360698428
67	0.9561375123	0.2322753544
68	0.9561291891	0.2286794162
69	0.9562175513	0.2252954161
70	0.9562861816	0.2219226812
71	0.9563424482	0.2186987674
72	0.9563145996	0.2154837524
73	0.9563032852	0.2124032864
74	0.9563484128	0.2094641456
75	0.956462523	0.2067556058
76	0.956536123	0.2041684319
77	0.9565369584	0.2014074231
78	0.9566048144	0.1988519187
79	0.9566637384	0.1963322196
80	0.9566762938	0.1938713781
81	0.9567046249	0.1915584974
82	0.9567797971	0.1892505706
83	0.9569114494	0.1870230711
84	0.9569595357	0.1848129401
85	0.9570530817	0.1827800469
86	0.9572072549	0.1807672945
87	0.9573064264	0.1787495475
88	0.9573841749	0.1768486943
89	0.9575318814	0.1748996101
90	0.9575616417	0.1729928979
91	0.9576754331	0.1712207104
92	0.9577343326	0.1695652667
93	0.9577366584	0.1679033498
94	0.9578503258	0.1662536337
95	0.9579494874	0.1647243168
96	0.9580536558	0.1631344749
97	0.9581602452	0.1616090757
98	0.9582578832	0.1601276307
99	0.9583506802	0.1586488886
100	0.9583912869	0.1572446646
101	0.9584801514	0.1559686107
102	0.9585473027	0.1545706725
103	0.9586661393	0.1532580135
104	0.9588072611	0.1519606216
105	0.9589234518	0.1507448194
106	0.9589942813	0.1495645479
107	0.9591436558	0.1483689292
108	0.9592139008	0.1472943949
109	0.9592589247	0.1461306806
110	0.959335569	0.1450428257
111	0.9593806382	0.1439499212
112	0.9594198339	0.1429015364
113	0.9595028651	0.1420044702
114	0.9595756983	0.1410856529
115	0.9596558309	0.1401250991
116	0.9597022857	0.1391793261
117	0.9597608136	0.1382611243
118	0.9598777026	0.1373958116
119	0.959964723	0.1366031981
120	0.9599649329	0.1357981813
121	0.9599882023	0.1349700782
122	0.9600337281	0.1341720741
123	0.960145799	0.133453279
124	0.9601876868	0.1326972547
125	0.9603052582	0.1319958852
126	0.9604121603	0.1312954367
127	0.9604736926	0.1305954102
128	0.9605100466	0.1297833346
129	0.960561512	0.1289543704
130	0.960581796	0.1281088705
131	0.9606651076	0.1274717284
132	0.9607241784	0.126853586
133	0.9607962183	0.1262866855
134	0.9608898454	0.1257302196
135	0.9609141211	0.1249713566
136	0.9609895966	0.124415775
137	0.9610269182	0.1237152655
138	0.9610337647	0.1230450351
139	0.9611025532	0.1225444581
140	0.9611933493	0.1220161607
141	0.9612655675	0.1215354581
142	0.9612957733	0.121028911
143	0.9613213373	0.1204241014
144	0.9614235763	0.1199734784
145	0.9614802592	0.1195059154
146	0.9615051474	0.1189496301
147	0.9615597763	0.1183823254
148	0.961634206	0.1179394555
149	0.9617164765	0.1175253653
150	0.9617862261	0.117109573
151	0.9618339965	0.1166944045
152	0.9618677562	0.1161720288
153	0.9619255263	0.1157711787
154	0.9619604691	0.1152480701
155	0.9620419732	0.1148449093
156	0.9620890348	0.1144649902
157	0.962149091	0.1141276047
158	0.9621741591	0.113673332
159	0.9622429869	0.1133359362
160	0.9622717581	0.1129057518
161	0.9622937232	0.1124926057
162	0.9623430678	0.1121868121
163	0.9624084018	0.1118523484
164	0.9624649161	0.1115628037
165	0.9624868426	0.111174205
166	0.9625278598	0.1109024826
167	0.9626079189	0.1106380911
168	0.9626161137	0.1102553248
169	0.962672104	0.1100061367
170	0.9627213134	0.1096920965
171	0.962784536	0.1094220461
172	0.9628455396	0.1091434474
173	0.9628969532	0.1088926841
174	0.9629383991	0.108610631
