iter	Accuracy	MultiClass
0	0.9486405743	1.786402963
1	0.9493225145	1.656042689
2	0.9502078263	1.54579448
3	0.9497292276	1.450880975
4	0.9466202649	1.367464305
5	0.9468154755	1.29335907
6	0.9471920903	1.22682025
7	0.9471945716	1.166689099
8	0.9471347408	1.112164171
9	0.9471965106	1.061981619
10	0.9478781747	1.015260817
11	0.9472400803	0.9725384116
12	0.9493229826	0.9328358611
13	0.9495594395	0.8959439773
14	0.9499512774	0.8615678674
15	0.9499293043	0.8292606463
16	0.9500178917	0.7988975335
17	0.9500494592	0.7703185976
18	0.9503578871	0.7434635918
19	0.9504198725	0.7181350561
20	0.9503917291	0.6943870237
21	0.9506910921	0.6717712721
22	0.950697337	0.650265036
23	0.9510334357	0.6299615299
24	0.9513007547	0.6107101833
25	0.9512749675	0.5921052174
26	0.9511671222	0.5745865234
27	0.951159152	0.5578450417
28	0.95147022	0.5418077757
29	0.9515413925	0.5261449967
30	0.9514757053	0.5114646106
31	0.9516333276	0.4975006696
32	0.9517948688	0.484117766
33	0.9520187333	0.471469098
34	0.9518906216	0.4589801212
35	0.9532823373	0.4471962734
36	0.9522862658	0.4356932596
37	0.9532837432	0.4248848469
38	0.9534033416	0.4144979491
39	0.9533728281	0.4044621318
40	0.9536920826	0.3949334328
41	0.9537702389	0.3856353155
42	0.9538131383	0.3765473631
43	0.9539435994	0.3678584331
44	0.9539608778	0.359652477
45	0.9541935266	0.3516728916
46	0.9542696616	0.3441146652
47	0.9543759525	0.3367622809
48	0.9545006593	0.3296191482
49	0.9546465665	0.3227301147
50	0.9546854972	0.3160243529
51	0.9547669196	0.3095933311
52	0.954900697	0.3034561582
53	0.9549509961	0.2975971598
54	0.9550045332	0.2918012113
55	0.955023934	0.286091892
56	0.9550818114	0.2808078604
57	0.9551944278	0.2754902441
58	0.9552271336	0.2705881162
59	0.9552589583	0.2657468928
60	0.9554597175	0.2612050231
61	0.9555128122	0.2566674629
62	0.9556817458	0.2524589988
63	0.9557549329	0.248187303
64	0.955940846	0.2441860985
65	0.9559046167	0.2401597515
66	0.9559673779	0.2362024838
67	0.9560722657	0.2326247658
68	0.9560993542	0.2290265722
69	0.9561214042	0.2255240024
70	0.9561457712	0.2220779091
71	0.9561838369	0.218837979
72	0.9562841311	0.2157362026
73	0.9563623791	0.2126656263
74	0.9563490928	0.209689216
75	0.9563526963	0.2068107683
76	0.9564780143	0.2040335684
77	0.9565121706	0.2015274779
78	0.9565925427	0.1990401742
79	0.9566398056	0.1964161747
80	0.956751262	0.1940577212
81	0.9568835763	0.1917141962
82	0.9570108476	0.1893588022
83	0.9571132449	0.1872199396
84	0.9571860851	0.1850870032
85	0.9572476004	0.1830397821
86	0.9573771187	0.1809920363
87	0.9574882604	0.178987078
88	0.9575631497	0.1770171348
89	0.9576442852	0.1751186122
90	0.9577558119	0.1732673362
91	0.9578265064	0.1715436545
92	0.9579240963	0.1697946063
93	0.9579867284	0.1681079466
94	0.9580261084	0.1663791868
95	0.9581065858	0.164704376
96	0.9581672211	0.1631585428
97	0.9582647638	0.1616579309
98	0.9583645942	0.1601774721
99	0.9584497804	0.1588354797
100	0.9585418085	0.1573951448
101	0.958621841	0.1560476011
102	0.9586810227	0.1546547509
103	0.9588067065	0.1534075226
104	0.9589137326	0.1521235309
105	0.9589819056	0.1508932153
106	0.9590639541	0.1497103268
107	0.9591374028	0.1486551799
108	0.9592448298	0.1475249095
109	0.9593076164	0.1463512895
110	0.9593724581	0.1453225694
111	0.9594603121	0.14429725
112	0.9595272784	0.1432384913
113	0.9595598403	0.1422221806
114	0.9596226468	0.1413133891
115	0.95971844	0.1403841453
116	0.9597561314	0.1394085359
117	0.9598359853	0.1385935012
118	0.9599043659	0.1377328115
119	0.9599938103	0.1368821077
120	0.9600592522	0.1360453455
121	0.960090507	0.1351970607
122	0.9601745449	0.1344574261
123	0.9602072263	0.1336430957
124	0.9602795444	0.132887311
125	0.9603387179	0.1321671739
126	0.960420328	0.1315050551
127	0.9604908672	0.1308216161
128	0.9605422535	0.130103384
129	0.9605863986	0.1294734329
130	0.9606541835	0.1288232366
131	0.9607442996	0.1282030512
132	0.9608229124	0.1275645072
133	0.9608690281	0.126920692
134	0.9609444033	0.1263248227
135	0.9609891972	0.1257352407
136	0.961070591	0.1251608705
137	0.9611053623	0.1244221403
138	0.9611686102	0.123713593
139	0.9611861208	0.1230251148
140	0.9612119087	0.1223325274
141	0.9612497347	0.1218500615
142	0.961302323	0.1212404728
143	0.9613635106	0.1207835143
144	0.9613868657	0.1201954985
145	0.9614495903	0.119718686
146	0.9615026566	0.1191903162
147	0.9615675516	0.1187517789
148	0.96165066	0.1183243599
149	0.9616891437	0.1177831091
150	0.9617560893	0.1174146208
151	0.9617834532	0.1168961176
152	0.9618390816	0.1165079469
153	0.9618493712	0.1159960742
154	0.9619168536	0.1155785964
155	0.9619711926	0.1151175429
156	0.9620421354	0.1147535358
157	0.9621074306	0.1143982897
158	0.9621763646	0.1140601991
159	0.9622456611	0.1137327984
160	0.9622695026	0.1132941619
161	0.9622873227	0.1128621613
162	0.962345259	0.1125244437
163	0.9624260737	0.1122375997
164	0.9624620345	0.1119479641
165	0.9625134523	0.1116153044
166	0.9625862651	0.1113277879
167	0.9626244399	0.111056072
168	0.9626634344	0.1106612311
169	0.962684216	0.1102952056
170	0.9627505905	0.1100193872
171	0.9628117543	0.1097333411
172	0.9628384323	0.1094050977
173	0.9628577986	0.1090719432
174	0.9629135986	0.1088129603
175	0.962958034	0.1085091834
176	0.9630023058	0.108277956
177	0.963065407	0.1080247006
178	0.9631125803	0.1077758153
179	0.9631515645	0.1075323847
180	0.9631985417	0.107273225
181	0.9632278144	0.106986976
182	0.9632911498	0.1067555503
183	0.9633196268	0.1064922469
184	0.9633739465	0.1061944419
185	0.9634408552	0.1059637421
186	0.9634841742	0.1057086312
187	0.9635337238	0.1054961755
188	0.9636178176	0.1052753141
189	0.9636676698	0.1050434092
190	0.9637431351	0.1048274707
191	0.9637948456	0.1045689623
192	0.9638318184	0.1043962491
193	0.9638621146	0.1041902009
194	0.9639014794	0.1040105135
195	0.9639233836	0.1037506544
196	0.9639787059	0.1035279297
197	0.9639966285	0.1032792425
198	0.9640592526	0.1031074554
199	0.9640947465	0.1029457604
200	0.9641719612	0.1027830111
201	0.9641852183	0.1025607467
202	0.9642416617	0.1023780011
203	0.9642756104	0.1021468966
204	0.9643128373	0.1019854321
205	0.9643393594	0.1017796984
206	0.96438059	0.1016211376
207	0.9644274484	0.101454182
208	0.9644865976	0.1013044816
209	0.9645125791	0.1011497297
210	0.9645162479	0.1009668413
211	0.9645686341	0.100819076
212	0.9645994135	0.100654751
213	0.9646254483	0.1004194669
214	0.964679853	0.1002377385
215	0.9647188579	0.1000995604
216	0.9647661057	0.09996000309
217	0.9648103395	0.0997732716
218	0.9648496744	0.09960257397
219	0.9649144596	0.09945549738
220	0.9649506355	0.099337415
221	0.9649774147	0.09916967134
222	0.9650189748	0.09903181506
223	0.965045511	0.09886088425
224	0.9650778332	0.09871799947
225	0.9650873997	0.09857298849
226	0.9651357131	0.09844932858
227	0.9651576694	0.09832583953
228	0.965196328	0.09820782409
229	0.9652212246	0.09808007755
230	0.9652623306	0.097957842
