iter	Passed	Remaining
0	1170	1169346
1	2301	1148486
2	3488	1159291
3	4659	1160312
4	5741	1142615
5	6733	1115504
6	7783	1104176
7	8881	1101338
8	9937	1094180
9	11054	1094424
10	12229	1099546
11	13348	1098988
12	14456	1097592
13	15567	1096392
14	16640	1092728
15	17667	1086536
16	18729	1083027
17	19755	1077789
18	20843	1076170
19	21945	1075324
20	23099	1076880
21	24217	1076588
22	25307	1075020
23	26366	1072223
24	27375	1067633
25	28433	1065155
26	29419	1060184
27	30485	1058281
28	31665	1060259
29	32802	1060600
30	33822	1057234
31	34993	1058549
32	35939	1053136
33	36960	1050107
34	38029	1048526
35	39062	1046019
36	40165	1045392
37	41181	1042541
38	42218	1040307
39	43259	1038219
40	44319	1036644
41	45404	1035655
42	46407	1032847
43	47351	1028810
44	48308	1025211
45	49462	1025808
46	50483	1023641
47	51631	1024028
48	52650	1021857
49	53712	1020542
50	54675	1017386
51	55676	1015033
52	56639	1012035
53	57742	1011556
54	58711	1008763
55	59947	1010546
56	60976	1008794
57	61988	1006784
58	63030	1005278
59	64043	1003345
60	65161	1003065
61	66107	1000142
62	67078	997666
63	68041	995100
64	69039	993106
65	70031	991045
66	71084	989878
67	72314	991127
68	73319	989280
69	74237	986302
70	75291	985145
71	76464	985538
72	77494	984069
73	78484	982120
74	79690	982850
75	80941	984074
76	81921	981996
77	83129	982633
78	84472	984796
79	85604	984454
80	86778	984564
81	87979	984941
82	89048	983823
83	90190	983503
84	91725	987393
85	92992	988315
86	94226	988838
87	95395	988645
88	96517	987947
89	98021	991104
90	99282	991737
91	100596	992848
92	101957	994356
93	103163	994321
94	104206	992700
95	105164	990297
96	106427	990764
97	107448	988968
98	108588	988261
99	109524	985720
100	110797	986208
101	111780	984103
102	112992	984025
103	113962	981826
104	115149	981514
105	116069	978929
106	116986	976345
107	118173	976024
108	119336	975496
109	120586	975651
110	121543	973446
111	122545	971608
112	123501	969436
113	124740	969473
114	125948	969257
115	127130	968819
116	128033	966268
117	128916	963595
118	129859	961399
119	130954	960334
120	132078	959480
121	132995	957127
122	134293	957525
123	135435	956789
124	136350	954455
125	137408	953135
126	138279	950537
127	139308	949035
128	140449	948306
129	141680	948172
130	142665	946385
131	143824	945758
132	144974	945057
133	146066	943980
134	147261	943562
135	148307	942189
136	149490	941684
137	150703	941353
138	151930	941097
139	153305	941736
140	154618	941964
141	155880	941868
142	156807	939749
143	157814	938118
144	158800	936373
145	159886	935228
146	160930	933836
147	162006	932634
148	163498	933807
149	164843	934111
150	165940	933000
151	167219	932908
152	168522	932932
153	169598	931692
154	170866	931498
155	172076	930975
156	173495	931570
157	174533	930107
158	175626	928943
159	176824	928330
160	177922	927188
161	179005	925968
162	179942	923997
163	180996	922638
164	181926	920658
165	183093	919879
166	184267	919131
167	185176	917064
168	186489	916998
169	187469	915292
170	188465	913669
171	189514	912315
172	190711	911667
173	191643	909757
174	192916	909462
175	194097	908728
176	195283	908011
177	196576	907784
178	198032	908293
179	199235	907629
180	200301	906334
181	201377	905091
182	202522	904159
183	203798	903803
184	205003	903124
185	206355	903083
186	207372	901573
187	208709	901445
188	209976	901012
189	211491	901623
190	212566	900347
191	213522	898571
192	214669	897605
193	215998	897395
194	217205	896669
195	218556	896529
196	219842	896110
197	220848	894548
198	221913	893228
199	223005	892021
200	224191	891190
201	225244	889825
202	226590	889617
203	227583	888022
204	228541	886296
205	229629	885076
206	230829	884288
207	231855	882832
208	232990	881796
209	234285	881361
210	235375	880149
211	236376	878607
212	237570	877783
213	238526	876084
214	239438	874229
215	240374	872471
216	241355	870880
217	242489	869848
218	243659	868941
219	244831	868038
220	245909	866801
221	247103	865976
222	248219	864873
223	249225	863389
224	250534	862953
225	251848	862524
226	253000	861538
227	254004	860049
228	255265	859429
229	256388	858344
230	257506	857239
231	258641	856194
232	259574	854480
233	260536	852868
234	261657	851779
235	263068	851627
236	264147	850400
237	265274	849322
238	266450	848405
239	267505	847102
240	268845	846695
241	270017	845756
242	271192	844825
243	272280	843622
244	273483	842776
245	274498	841348
246	275562	840075
247	276571	838637
248	277621	837324
249	278819	836457
250	279919	835296
251	281063	834267
252	282304	833524
253	283249	831904
254	284238	830421
255	285224	828933
256	286454	828155
257	287467	826746
258	288597	825677
259	289724	824600
260	290746	823225
261	291930	822307
262	292848	820642
263	293771	818998
264	294812	817686
265	295758	816114
266	296789	814782
267	297952	813811
268	298970	812444
269	300200	811653
270	301421	810835
271	302730	810250
272	303640	808596
273	304761	807506
274	305765	806109
275	306946	805178
276	308072	804103
277	309140	802874
278	310400	802147
279	311504	801012
280	312580	799805
281	313422	798004
282	314460	796707
283	315411	795193
284	316392	793755
285	317280	792091
286	318218	790556
287	319307	789397
288	320498	788493
289	321564	787278
290	322726	786298
291	323688	784834
292	324689	783465
293	325760	782268
294	326729	780827
295	327937	779958
296	328901	778511
297	329843	777014
298	330887	775759
299	331942	774533
300	332999	773310
301	334012	771988
302	334881	770339
303	335851	768923
304	336760	767373
305	337666	765818
306	338548	764216
307	339641	763091
308	340831	762184
309	341918	761043
310	343041	759986
311	343910	758365
312	344813	756827
313	345881	755652
314	346811	754177
315	347955	753170
316	349159	752290
317	350499	751699
318	351533	750452
319	352627	749332
320	353695	748159
321	354686	746824
322	355618	745367
323	356774	744382
324	357936	743406
325	358897	742015
326	359899	740711
327	361061	739735
328	362240	738793
