iter	Accuracy	MultiClass
0	0.9351447285	1.790029883
1	0.9351447285	1.662245026
2	0.9358973535	1.553825434
3	0.9360987556	1.460407456
4	0.9362449117	1.37826252
5	0.9366123079	1.305452024
6	0.939657915	1.239840405
7	0.9366297241	1.180597596
8	0.9397063573	1.126655265
9	0.9408843348	1.077408069
10	0.9408851783	1.031610829
11	0.9408196021	0.9895229766
12	0.9408261188	0.9505103753
13	0.9383745743	0.9141489722
14	0.9392903526	0.8800766903
15	0.9392903526	0.848338632
16	0.9384042779	0.8185273829
17	0.9393371957	0.7905300074
18	0.9400032979	0.7643599881
19	0.9399806959	0.7394761084
20	0.9399716761	0.7159624953
21	0.9399736196	0.6937131927
22	0.9406856904	0.6725067645
23	0.9406849858	0.6525875998
24	0.9406100122	0.6336803844
25	0.9406716526	0.6157126471
26	0.9406666985	0.5985606748
27	0.9410018992	0.5817695886
28	0.9410338014	0.5660265363
29	0.9410109674	0.551080482
30	0.9410571325	0.53635823
31	0.940762975	0.5223827622
32	0.9407614591	0.5091723872
33	0.9409171461	0.4963397359
34	0.9412933224	0.4843094182
35	0.9410028366	0.472574363
36	0.9410601999	0.4614736679
37	0.9408600291	0.4506207964
38	0.9407866156	0.4402060527
39	0.9407540481	0.4305195579
40	0.9410181384	0.4209602031
41	0.9410494465	0.4118950689
42	0.9410151569	0.4029954586
43	0.9409187105	0.3947452227
44	0.9408310704	0.3865589636
45	0.940785533	0.3786348079
46	0.9407417128	0.3712863828
47	0.9413032562	0.3639830792
48	0.9412387401	0.3572375954
49	0.9413380661	0.3504742882
50	0.9411094951	0.3439792315
51	0.9410032473	0.3376891302
52	0.940959973	0.3315986483
53	0.941469637	0.3257324221
54	0.9411904236	0.3202613029
55	0.9415672785	0.3147743379
56	0.9413128676	0.3095205535
57	0.9412050735	0.3044974047
58	0.9409893557	0.2996200597
59	0.940926013	0.2948898895
60	0.9409102194	0.290146387
61	0.9408809699	0.2857626998
62	0.9414730678	0.2815093242
63	0.9409265571	0.2774420663
64	0.940918959	0.2734296217
65	0.9417363849	0.269570924
66	0.9415990312	0.2658560542
67	0.941381058	0.262098474
68	0.9421036343	0.2586788248
69	0.9426171584	0.2553842693
70	0.9427459175	0.2519795876
71	0.9424754964	0.2486393596
72	0.9425928982	0.2454774154
73	0.9430999283	0.2425767899
74	0.9430771433	0.2395290813
75	0.9430919357	0.2365566281
76	0.9436038196	0.233919499
77	0.9437457097	0.2310916243
78	0.9435590856	0.228393325
79	0.9439103281	0.2259889289
80	0.9440186841	0.2234592977
81	0.9442102562	0.2209378525
82	0.9443213234	0.2187116018
83	0.9446173333	0.2163775139
84	0.9447643054	0.2140330665
85	0.9448797911	0.2119995406
86	0.9450214755	0.2098568819
87	0.9451022233	0.2079558505
88	0.9452938015	0.2061168057
89	0.9454560379	0.2041284363
90	0.9455034209	0.2022203392
91	0.9455840597	0.200388717
92	0.9457521185	0.1985887102
93	0.9458856976	0.1967992862
94	0.9459669139	0.1952457537
95	0.9460561616	0.1937404414
96	0.9461971978	0.1921212114
97	0.9463349933	0.1906150063
98	0.9464179988	0.1891086533
99	0.94648982	0.1877559466
100	0.9465955715	0.1862460717
101	0.9466373707	0.1849874541
102	0.946744489	0.1835386017
103	0.9468302857	0.1823338833
104	0.9469469746	0.1810317534
105	0.9470118308	0.1798891491
106	0.9471536573	0.1787759241
107	0.947265841	0.1774736597
108	0.9473845225	0.1762389474
109	0.947490483	0.1750895853
110	0.9475866595	0.1741082532
111	0.9476847655	0.1731410289
112	0.9477848229	0.172214101
113	0.9479319575	0.1710774853
114	0.9480829212	0.1700652814
115	0.9482833597	0.1690304282
116	0.9485458632	0.1681823841
117	0.9486377123	0.1673733211
118	0.94864637	0.1665770304
119	0.9488047208	0.1656358501
120	0.9488778477	0.1646978322
121	0.9488840013	0.1639330522
122	0.949019898	0.1630932674
123	0.9490529847	0.1623143609
124	0.9490665907	0.1614373235
125	0.9491217963	0.1606695184
126	0.9492115387	0.1600261921
127	0.9492578414	0.159198248
128	0.9493020936	0.1584856815
129	0.9492942174	0.1577375863
130	0.9493696046	0.1571601697
131	0.9494215256	0.1565613229
132	0.9494647248	0.1558922133
133	0.94942952	0.1552147135
134	0.9495360066	0.1545526583
135	0.949577084	0.1539445204
136	0.9496751833	0.1533601697
137	0.9497066982	0.1527920627
138	0.9497606143	0.1522613514
139	0.9498627767	0.1517312553
140	0.9499748638	0.1511995456
141	0.9500405707	0.1506536169
142	0.9500491478	0.1501880655
143	0.9500759445	0.1495383851
144	0.9500698704	0.1490174206
145	0.9501405763	0.1484917939
146	0.9501766546	0.1479860811
147	0.9501211524	0.147402387
148	0.9502941899	0.1469205506
149	0.9503582663	0.1464159508
150	0.9505207405	0.1459901257
151	0.9506087619	0.1456131545
152	0.9506316323	0.1452021198
153	0.950676095	0.1446772957
154	0.9507123699	0.1442375931
155	0.9508304284	0.1437695929
156	0.9509248888	0.1433188347
157	0.9510148761	0.1429170781
158	0.9510454759	0.1424504531
159	0.9511504236	0.1421045886
160	0.9512780836	0.1415746088
161	0.9513593852	0.1413028951
162	0.9514473965	0.1409601888
163	0.9515572528	0.1405293555
164	0.9515754232	0.1401175668
165	0.9516795929	0.1397917359
166	0.9517073356	0.139472919
167	0.9517343736	0.1390456583
168	0.9518291058	0.1387222059
169	0.9518620954	0.1383596335
170	0.9519324933	0.1380885207
171	0.9519838007	0.1377357023
172	0.9520921361	0.1374590199
173	0.9521527859	0.137216417
174	0.9521645701	0.1369287098
175	0.9522824191	0.1365648166
176	0.9523235336	0.1362344973
177	0.9524191577	0.1359385253
178	0.9524407233	0.1356708357
179	0.952476447	0.1353348809
180	0.9525559033	0.1350522749
181	0.9525769735	0.1347319933
182	0.9527483086	0.1344763008
183	0.9528242462	0.1333815966
184	0.9529163084	0.1331824991
185	0.952981064	0.132941009
186	0.953000215	0.1326199897
187	0.9530945506	0.1323577437
188	0.9531467925	0.1321889144
189	0.9531858998	0.1319642481
190	0.9532165445	0.1317196414
191	0.9532304219	0.1315573852
192	0.9533266499	0.1307760498
193	0.9534211389	0.1305482729
194	0.953486519	0.1303700929
195	0.9535636288	0.1301468613
196	0.9536243908	0.1299638118
197	0.9536840572	0.1297895874
198	0.9537104931	0.1295321172
199	0.9537938964	0.1292695438
200	0.9538141576	0.1290746768
201	0.953860283	0.1288204308
202	0.9539549798	0.1285798587
203	0.9540093871	0.1283715375
204	0.954058554	0.1281293078
205	0.9540638361	0.127974513
206	0.9541294516	0.1278250995
207	0.9541689956	0.1273963736
208	0.9542232298	0.1271630416
209	0.9543028237	0.1269360101
210	0.9543594143	0.1267194241
211	0.9544179986	0.1265965793
212	0.9544962066	0.126387051
213	0.9546115257	0.1261150298
214	0.9546468459	0.1259199605
215	0.9546919497	0.1256918221
216	0.9547681273	0.1255610512
217	0.9548665079	0.125358264
218	0.9549702731	0.1251590414
219	0.9549971459	0.1247676687
220	0.9550644053	0.1245562846
221	0.9550870889	0.1243941387
222	0.9551215846	0.1241985553
223	0.9551926319	0.1240089712
224	0.9552493933	0.1238488402
225	0.9553136604	0.1237082848
226	0.955436892	0.1234540025
227	0.9555415643	0.1232131101
228	0.9556215584	0.1230362992
229	0.9556910346	0.1228330402
230	0.955713406	0.122697898
231	0.9557623733	0.1225901439
232	0.9557987509	0.1224664035
233	0.9558381165	0.1221181957
234	0.9558874118	0.1219946345
235	0.9559644046	0.1218261093
236	0.9560153359	0.1217369203
237	0.9560665949	0.1215608206
238	0.9561159321	0.1214131147
239	0.956161563	0.1212999837
240	0.9562299567	0.1211640118
241	0.9562559038	0.1209979539
242	0.9563069937	0.1208856076
243	0.9563579196	0.1207875329
244	0.9563839733	0.1206684466
245	0.9564153229	0.1205611031
246	0.9564537437	0.1204322004
247	0.9564924924	0.1201225861
248	0.9565342239	0.1198268541
249	0.9565808897	0.1197323269
250	0.9566382114	0.1195699249
251	0.9566886511	0.1194006523
252	0.9567424025	0.1192545341
253	0.9567681573	0.1191555862
