iter	Accuracy	MultiClass
0	0.9451283291	1.7865449
1	0.945330739	1.656211249
2	0.9456215991	1.546159369
3	0.9452846225	1.450834596
4	0.946340126	1.367372528
5	0.9459966746	1.293265516
6	0.9459560557	1.22688122
7	0.9467942194	1.166743844
8	0.9471648766	1.11203856
9	0.9472884845	1.061828452
10	0.9473418883	1.015524046
11	0.9504696472	0.9726574686
12	0.9478219671	0.933021449
13	0.9479187021	0.8960933249
14	0.9499769388	0.8615097692
15	0.9500571181	0.8291772117
16	0.9500825849	0.7989618061
17	0.9496165117	0.7704469787
18	0.9502972125	0.7435864756
19	0.9504306739	0.7181554164
20	0.9504155958	0.6942033895
21	0.9518491039	0.6716639858
22	0.9504750859	0.6501272035
23	0.9519904557	0.6297069077
24	0.952000784	0.6100505919
25	0.9509624245	0.5916133864
26	0.9508112873	0.5739054127
27	0.9509839724	0.5571844273
28	0.9514865788	0.5413316197
29	0.9511877963	0.5259582775
30	0.951267261	0.5112605105
31	0.9519759192	0.4973534425
32	0.9528689792	0.483935313
33	0.9529944856	0.4709564095
34	0.9526814115	0.4585914956
35	0.9520917449	0.4467972861
36	0.9533467744	0.4354973489
37	0.9531016686	0.424780753
38	0.9527250986	0.4142775643
39	0.9523503398	0.4042741341
40	0.9534855218	0.3945824428
41	0.9532317273	0.3852437396
42	0.9537712331	0.3762930976
43	0.9538218111	0.3676681629
44	0.9538688284	0.3594316345
45	0.953946488	0.3513790662
46	0.954150688	0.3436608618
47	0.9541915414	0.3362428517
48	0.9544208739	0.3291982529
49	0.9544997047	0.3222194019
50	0.9544808809	0.3155765965
51	0.9547266826	0.3093299288
52	0.9548095299	0.3031106819
53	0.9548228201	0.2971949099
54	0.9550372756	0.2913997674
55	0.9550572989	0.285952928
56	0.9551216093	0.2805661121
57	0.9552237361	0.2753886634
58	0.9553824666	0.2702993221
59	0.9554331943	0.2655446218
60	0.9554529073	0.2608525623
61	0.9557025786	0.2562411447
62	0.9557246724	0.2517876237
63	0.9559068331	0.2477225378
64	0.9558372152	0.2437911887
65	0.9561929723	0.239959675
66	0.9562047062	0.2362224665
67	0.9562507365	0.2323761973
68	0.9562983018	0.2289404769
69	0.9562312921	0.2255572517
70	0.9564295597	0.222107258
71	0.9565353141	0.2189666876
72	0.9566535543	0.2158736993
73	0.9566393629	0.2128221904
74	0.9566697953	0.2097736587
75	0.9566954738	0.2069893774
76	0.9567788441	0.2041299027
77	0.9568105995	0.2015337022
78	0.9569484838	0.1989622172
79	0.9569360721	0.1963888645
80	0.957107009	0.1939162157
81	0.9572118912	0.1915033108
82	0.957238592	0.1890712208
83	0.9572341631	0.186769666
84	0.9573018572	0.1846911488
85	0.9574128369	0.182567639
86	0.9574673466	0.1804095101
87	0.9575950706	0.1783693465
88	0.9576589169	0.1765038118
89	0.9577728945	0.1745667857
90	0.9578826003	0.1726933849
91	0.9579492715	0.1709044818
92	0.9580199405	0.169247754
93	0.9581239729	0.1675429265
94	0.9581722534	0.1659214113
95	0.9581831885	0.1643382166
96	0.958264471	0.1627035294
97	0.9582611594	0.1611515919
98	0.9583543519	0.1596698754
99	0.9584496506	0.1582993219
100	0.9585361395	0.1569077607
